1,Hilton London Heathrow Airport Terminal 5,Hilton Hotels,Hilton,Luxury,"Poyle Road, Colnbrook SL3 0FF, United Kingdom","Connect to terminals 4 and 5 with the Hotel Hoppa service and enjoy free WiFi throughout the hotel. Large carpark, ideal for Park and Fly guests.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-heathrow-airport-terminal-5-LHRATHI/index.html,Hilton_London_Heathrow_Airport_Terminal_5_search_188x150_FitToWidth_Center.jpg,51.47678,-0.5173
2,DoubleTree by Hilton Hotel London Heathrow Airport,Hilton Hotels,DoubleTree by Hilton,Luxury,"745 Bath Road, Cranford TW5 9QE, United Kingdom","Stylish hotel only 10 minutes from Heathrow Terminals 1, 2, 3 and close to London city and Wembley Stadium. Easy links to the Underground & M25.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-heathrow-airport-LHRCLDI/index.html,HL_lobbybar17_188x150_FitToBoxSmallDimension_Center.jpg,51.4802,-0.41128
3,Hampton by Hilton London Croydon,Hilton Hotels,Hampton by Hilton,Luxury,"30 Dingwall Road, Croydon CR0 2NB, United Kingdom","In Croydon Town Centre near London Victoria, Gatwick Airport, East Croydon Station, the M25, Thames River, Buckingham Palace, Regent Street and more.",http://hamptoninn3.hilton.com/en/hotels/united-kingdom/hampton-by-hilton-london-croydon-CROHXHX/index.html,Hampton_by_Hilton_London_Croydon_search_188x150_FitToWidth_Center.jpg,51.3778,-0.09595
4,Hilton London Croydon,Hilton Hotels,Hilton,Luxury,"101 Waddon Way, Purley Way, Croydon CR9 4HH, United Kingdom","With easy access to Gatwick airport and just 15 minutes? train ride away from London, this hotel is ideally located to visit attractions in the city.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-croydon-CROHNHN/index.html,HL_exterior001_188x150_FitToBoxSmallDimension_Center(1).jpg,51.35778,-0.1156
5,DoubleTree by Hilton Hotel London - Ealing,Hilton Hotels,DoubleTree by Hilton,Luxury,"2-8 Hanger Lane, Ealing W5 3HN, United Kingdom","A stylish hotel located on Ealing Common with easy transportation to Wembley Stadium, Westfield Shopping Centre and all Central London attractions.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-ealing-LONECDI/index.html,HL_exterior001_188x150_FitToWidth_Center.jpg,51.51157,-0.2907
6,Hilton London Gatwick Airport,Hilton Hotels,Hilton,Luxury,"South Terminal Gatwick Airport, Gatwick RH6 0LL, United Kingdom","Linked to Gatwick Airport South Terminal, 10 minutes from the North Terminal by free monorail and 30 minutes from central London. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-gatwick-airport-GATHITW/index.html,Hilton_London_Gatwick_Airport_search_188x150_FitToWidth_Center.jpg,51.15671,-0.15764
7,Hilton London Heathrow Airport,Hilton Hotels,Hilton,Luxury,"Terminal 4, Hounslow TW6 3AF, United Kingdom","Modern hotel with refurbished rooms near Twickenham Stadium. Train-connected to all airport terminals, 25 minutes to Central London by Heathrow Express.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-heathrow-airport-LHRAPTW/index.html,Hilton_London_Heathrow_Airport_search_188x150_FitToWidth_Center.jpg,51.45865,-0.44155
8,Conrad London St. James,Hilton Hotels,Conrad,Luxury,"22-28 Broadway, London SW1H 0BH, United Kingdom",Conrad London's location connects guests to iconic London landmarks spanning Buckingham Palace to Westminster Abbey and provides easy access to the City,http://conradhotels3.hilton.com/en/hotels/united-kingdom/conrad-london-st-james-LONCOCI/index.html,CN_hotelentrance01_188x150_FitToBoxSmallDimension_Center.jpg,51.49929,-0.13295
9,DoubleTree by Hilton Hotel London - Chelsea,Hilton Hotels,DoubleTree by Hilton,Luxury,"Imperial Road Imperial Wharf, London SW6 2GA, United Kingdom","Stylish, central London hotel with complimentary WiFi and opposite Imperial Wharf station and close to Kings Road, Chelsea FC, Fulham FC, Westfield.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-chelsea-LONLCDI/index.html,HL_exterior_188x150_FitToWidth_Center(3).jpg,51.47414,-0.18394
10,DoubleTree by Hilton Hotel London - Docklands Riverside,Hilton Hotels,DoubleTree by Hilton,Luxury,"265 Rotherhithe Street, London SE16 5HW, United Kingdom","Riverside location with stunning views. Explore London by river or enjoy Canary Wharf shopping. Close to O2 Arena, ExCel and London City Airport.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-docklands-riverside-LONNDDI/index.html,HL_nightview_188x150_FitToWidth_Center.jpg,51.50425,-0.034
